Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
871653296,0.188616,-0.033867,0.071159,-0.255446,0.042405,0.965033
871655801,0.188892,-0.155249,0.009693,-0.255458,0.042413,0.965761
871658306,0.188955,-0.216068,0.009268,-0.254757,0.042425,0.967230
871660812,0.188742,-0.155504,0.070308,-0.255489,0.041701,0.967225
871663317,0.127918,-0.094568,0.010344,-0.256172,0.042411,0.965019
871665822,0.066796,-0.034141,0.071609,-0.256134,0.042385,0.962835
871668327,0.005909,0.087613,0.012070,-0.256859,0.040924,0.962110
871670833,0.066606,0.148314,0.072885,-0.258310,0.039468,0.961372
871673338,0.005909,0.087613,0.012070,-0.255431,0.039462,0.962884
871675844,-0.055087,0.026403,0.072485,-0.253963,0.043105,0.963596
871678349,0.005886,-0.034278,0.071835,-0.254693,0.040915,0.962880
871680854,0.067157,-0.094450,-0.050046,-0.254680,0.039439,0.961442
871683359,0.128004,-0.033495,-0.049846,-0.256197,0.042428,0.966474
871685864,0.128004,-0.033495,-0.049846,-0.254757,0.042425,0.967230
871688370,0.127643,0.026814,0.071809,-0.255445,0.040938,0.964322
871690875,0.127792,0.027069,0.011194,-0.254713,0.041661,0.964328
871693380,0.066670,0.087496,0.072460,-0.256141,0.043123,0.963554
871695886,0.066670,0.087496,0.072460,-0.259783,0.041694,0.963501
871698391,0.127281,0.087123,0.193464,-0.257604,0.041676,0.963543
871700896,0.127281,0.087123,0.193464,-0.256229,0.043183,0.968649
871703401,0.066584,0.026422,0.132649,-0.256230,0.044650,0.969360
871705907,0.006035,-0.034023,0.011220,-0.254760,0.045359,0.968651
871708418,-0.054599,-0.155542,-0.050020,-0.254767,0.046097,0.969370
871710917,-0.054662,-0.094724,-0.049595,-0.256894,0.046080,0.966416
871713423,0.006397,-0.094332,-0.110436,-0.254763,0.041695,0.967239
871715928,0.006270,0.027305,-0.109585,-0.256299,0.043963,0.973008
